selection_subset,position,Cell_ID,cell_cycle_stage,generation_num,frame_i,mCitrine_corrected_amount,mCitrine_corrected_amount_rel,file,relationship,relative_ID,phase_length,phase_begin,gui_mCitrine_amount_autoBkgr,frames_in_phase,centered_frames_in_phase,Combined signal,Bud signal,min_centered_frames,max_centered_frames,centered_time_in_minutes,Generation,contributing_ccs_at_time
0,Position_2,3,S,1.0,95,287018.0,1968.0,MIA_KC_htb1_mCitrine_labeled,mother,5.0,41.0,89.0,287018.0,7.0,7.0,288986.0,1968.0,-15.0,42.0,21.0,1st ($n_1$=48),48
0,Position_2,1,S,4.0,96,493659.0,12586.000000000002,MIA_KC_htb1_mCitrine_labeled,mother,4.0,27.0,80.0,493659.0,17.0,17.0,506245.0,12586.000000000002,-6.0,28.0,51.0,2+ ($n_2$=89),87
0,Position_2,3,S,1.0,96,298541.0,3046.0,MIA_KC_htb1_mCitrine_labeled,mother,5.0,41.0,89.0,298541.0,8.0,8.0,301587.0,3046.0,-15.0,42.0,24.0,1st ($n_1$=48),48
0,Position_2,1,S,4.0,97,511282.0,16062.0,MIA_KC_htb1_mCitrine_labeled,mother,4.0,27.0,80.0,511282.0,18.0,18.0,527344.0,16062.0,-6.0,28.0,54.0,2+ ($n_2$=89),86
0,Position_2,3,S,1.0,97,310438.0,3822.000000000001,MIA_KC_htb1_mCitrine_labeled,mother,5.0,41.0,89.0,310438.0,9.0,9.0,314260.0,3822.000000000001,-15.0,42.0,27.0,1st ($n_1$=48),48
0,Position_2,1,S,4.0,98,504670.0,16534.0,MIA_KC_htb1_mCitrine_labeled,mother,4.0,27.0,80.0,504670.0,19.0,19.0,521204.0,16534.0,-6.0,28.0,57.0,2+ ($n_2$=89),86
0,Position_2,3,S,1.0,98,321553.0,6060.999999999999,MIA_KC_htb1_mCitrine_labeled,mother,5.0,41.0,89.0,321553.0,10.0,10.0,327614.0,6060.999999999999,-15.0,42.0,30.0,1st ($n_1$=48),48
0,Position_2,1,S,4.0,99,457581.00000000006,62631.0,MIA_KC_htb1_mCitrine_labeled,mother,4.0,27.0,80.0,457581.00000000006,20.0,20.0,520212.00000000006,62631.0,-6.0,28.0,60.0,2+ ($n_2$=89),85
0,Position_2,3,S,1.0,99,363461.0,3879.0,MIA_KC_htb1_mCitrine_labeled,mother,5.0,41.0,89.0,363461.0,11.0,11.0,367340.0,3879.0,-15.0,42.0,33.0,1st ($n_1$=48),48
0,Position_2,1,S,4.0,100,334160.0,182934.0,MIA_KC_htb1_mCitrine_labeled,mother,4.0,27.0,80.0,334160.0,21.0,21.0,517094.0,182934.0,-6.0,28.0,63.0,2+ ($n_2$=89),84
