Position_n,frame_i,Cell_ID,is_cell_dead,is_cell_excluded,x_centroid,y_centroid,editIDclicked_x,editIDclicked_y,editIDnewID,cell_cycle_stage,generation_num,relative_ID,relationship,emerg_frame_i,division_frame_i,is_history_known,corrected_assignment,cell_area_pxl,cell_vol_vox,cell_area_um2,cell_vol_fl
Position_8,0,11,FALSE,FALSE,567,724,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,5069,263145.7678,26.64099131,100.2624988
Position_8,0,12,FALSE,FALSE,542,782,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,2781,106165.827,14.61601831,40.45077827
Position_9,0,1,FALSE,FALSE,515,400,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,5301,272766.8456,27.86030675,103.9282743
Position_9,0,2,FALSE,FALSE,323,429,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,4637,226637.1699,24.37054186,86.3521734
Position_9,0,3,FALSE,FALSE,519,469,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,3380,145620.8803,17.76416465,55.48374748
Position_9,0,4,FALSE,FALSE,342,493,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,2964,119529.9907,15.57780593,45.5427258
Position_10,0,1,FALSE,FALSE,805,116,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,4068,180893.2008,21.38006563,68.92303258
Position_10,0,2,FALSE,FALSE,40,129,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,2495,90602.7659,13.11289669,34.52101769
Position_10,0,3,FALSE,FALSE,794,170,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1516,44151.30927,7.967595744,16.82231346
Position_10,0,4,FALSE,FALSE,165,183,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,4545,206481.5285,23.88702022,78.67257061
Position_10,0,5,FALSE,FALSE,161,243,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,2773,88500.79742,14.57397295,33.72013606
Position_10,0,6,FALSE,FALSE,459,473,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1284,34169.86907,6.748280301,13.01923449
Position_10,0,7,FALSE,FALSE,413,504,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,4206,197769.783,22.10534809,75.35326445
Position_10,0,8,FALSE,FALSE,245,545,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,4194,202146.2096,22.04228005,77.02074888
Position_10,0,9,FALSE,FALSE,395,566,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,2863,100944.666,15.04698326,38.46143731
Position_10,0,10,FALSE,FALSE,348,599,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,3831,162225.5935,20.13447183,61.81039319
Position_10,0,11,FALSE,FALSE,255,611,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,2388,81975.14974,12.55054,31.23376606
Position_10,0,12,FALSE,FALSE,408,633,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,2480,86490.46079,13.03406164,32.95416754
Position_10,0,13,FALSE,FALSE,300,644,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,2585,92517.22254,13.58590699,35.25045449
Position_10,0,14,FALSE,FALSE,361,670,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,3280,133341.131,17.23859765,50.80497814
Position_10,0,15,FALSE,FALSE,366,728,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,2927,117151.6994,15.38334614,44.63656101
Position_10,0,16,FALSE,FALSE,267,643,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,64,323.7439604,0.336362881,0.123351322
Position_11,0,1,FALSE,FALSE,606,125,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,5150,247318.1003,27.06670058,94.2319192
Position_11,0,2,FALSE,FALSE,605,185,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1805,54536.64079,9.486484379,20.77928111
Position_11,0,3,FALSE,FALSE,424,457,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,3740,164060.1777,19.65620586,62.50939737
Position_11,0,4,FALSE,FALSE,202,613,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,4529,222298.54,23.8029295,84.69909011
Position_11,0,5,FALSE,FALSE,451,485,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,301,3635.605806,1.581956675,1.385220541
Position_12,0,1,FALSE,FALSE,759,74,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,3237,130100.2599,17.01260384,49.57015747
Position_12,0,2,FALSE,FALSE,754,133,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,2116,69700.41923,11.12099775,26.55690896
Position_12,0,3,FALSE,FALSE,262,190,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,4605,230118.7473,24.20236042,87.6787068
Position_12,0,4,FALSE,FALSE,315,200,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1063,24380.79055,5.586777227,9.289448217
Position_12,0,5,FALSE,FALSE,266,259,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,3344,144922.9674,17.57496053,55.21783216
Position_12,0,6,FALSE,FALSE,248,713,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,3886,176409.7401,20.42353368,67.21476654
Position_12,0,7,FALSE,FALSE,188,742,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,3778,158033.0681,19.85592132,60.2129779
Position_12,0,8,FALSE,FALSE,247,763,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,721,12973.05396,3.789338082,4.942928847
Position_12,0,9,FALSE,FALSE,223,785,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1130,26071.90161,5.938907118,9.933786987
Position_13,0,1,FALSE,FALSE,280,74,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,3720,164889.3625,19.55109246,62.82532927
Position_13,0,2,FALSE,FALSE,269,130,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,2149,73349.4528,11.29443486,27.94724568
Position_13,0,3,FALSE,FALSE,496,188,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,5231,270863.5498,27.49240985,103.2030899
Position_13,0,4,FALSE,FALSE,501,253,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,3235,118973.7812,17.0020925,45.3308016
Position_13,0,5,FALSE,FALSE,333,597,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,397,5259.404385,2.086500996,2.003912243
Position_13,0,6,FALSE,FALSE,330,641,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,3938,178221.0448,20.69682852,67.90490092
Position_13,0,7,FALSE,FALSE,556,742,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,3611,154156.8696,18.97822443,58.7360879
Position_14,0,1,FALSE,FALSE,253,179,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,3432,143629.0231,18.03745949,54.72481992
Position_14,0,2,FALSE,FALSE,252,233,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,2131,70137.50005,11.1998328,26.72344333
Position_14,0,3,FALSE,FALSE,453,303,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1448,37479.17299,7.610210183,14.2801291
Position_14,0,4,FALSE,FALSE,516,309,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,3841,177527.13,20.18702853,67.64050894
Position_14,0,5,FALSE,FALSE,408,340,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,3581,145841.4424,18.82055433,55.56778497
