frame_i,Cell_ID,file,position,x_label,mCitrine_corrected_amount,mCitrine_corrected_concentration
196,6,MIA_KC_htb1_mCitrine_labeled,Position_5,4 (n=10),383605.0,2825.478201895516
199,6,MIA_KC_htb1_mCitrine_labeled,Position_4,4 (n=10),269819.0,2285.8982959541095
179,3,MIA_KC_htb1_mCitrine_labeled,Position_5,4 (n=10),278063.0,2800.393003591172
170,4,MIA_KC_htb1_mCitrine_labeled,Position_4,4 (n=10),280134.0,2472.684698400386
208,4,MIA_KC_htb1_mCitrine_labeled,Position_5,5 (n=8),301517.0,1787.921750567769
198,5,MIA_KC_htb1_mCitrine_labeled,Position_8,5 (n=8),297558.99999999994,2579.9509364773203
206,4,MIA_KC_htb1_mCitrine_labeled,Position_4,5 (n=8),299878.0,2131.780686718489
239,6,MIA_KC_htb1_mCitrine_labeled,Position_4,5 (n=8),274397.0,2039.8693094959863
237,5,MIA_KC_htb1_mCitrine_labeled,Position_5,5 (n=8),245091.0,2328.7045153611834
229,6,MIA_KC_htb1_mCitrine_labeled,Position_5,5 (n=8),314655.0,2479.7792418266013
199,5,MIA_KC_htb1_mCitrine_labeled,Position_8,5 (n=8),295269.0,2786.287690568795
211,3,MIA_KC_htb1_mCitrine_labeled,Position_5,5 (n=8),300360.0,2752.944732229515
