Position_n,frame_i,Cell_ID,time_seconds,is_cell_dead,is_cell_excluded,x_centroid,y_centroid,editIDclicked_x,editIDclicked_y,editIDnewID,cell_cycle_stage,generation_num,relative_ID,relationship,emerg_frame_i,division_frame_i,is_history_known,corrected_assignment,cell_area_pxl,cell_vol_vox,cell_area_um2,cell_vol_fl,FITC_mean,phase_contr_mean,FITC_median,phase_contr_median,FITC_min,phase_contr_min,FITC_max,phase_contr_max,FITC_sum,phase_contr_sum,FITC_q25,phase_contr_q25,FITC_q75,phase_contr_q75,FITC_q05,phase_contr_q05,FITC_q95,phase_contr_q95,FITC_amount_autoBkgr,phase_contr_amount_autoBkgr,FITC_amount_dataPrepBkgr,phase_contr_amount_dataPrepBkgr
Position_10,0,16,0,0,0,329,219,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1137,26808.38213,52.36244292,264.9474587,298.880387,2588.788039,298,2586,257,2216,360,3038,339827,2943452,287,2483,310,2680,272,2376.8,329.2,2826.2,54440,264680,0,0
Position_10,0,17,0,0,0,157,223,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1222,30649.70378,56.27696152,302.9112718,325.5957447,2510.302782,318,2491,257,2192,587,2911,397878,3067590,303,2434,334,2577,285,2352,401.9,2726,91156,188558,0,0
Position_10,0,20,0,0,0,199,262,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1250,32691.75186,57.56645,323.0928496,318.1336,2568.5064,317,2554.5,257,2126,385,2980,397667,3210633,301,2466.25,334,2665.75,282.45,2358,358,2808.55,83917,265633,0,0
Position_10,0,21,0,0,0,473,261,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,947,20028.59468,43.61234252,197.9427642,261.0274551,2641.984161,261,2636,218,2177,339,3175,247193,2501959,251,2530.5,270,2744,239,2376,285,2922.4,9496,270827,0,0
Position_10,0,22,0,0,0,120,282,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1230,31297.46976,56.6453868,309.3131483,270.4609756,2431.22439,270,2427.5,234,2218,318,2874,332667,2990406,261,2380.25,279,2469,248.45,2322.45,294,2556.55,23937,92526,0,0
Position_10,0,25,0,0,0,83,307,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1314,34225.30768,60.51385224,338.2489942,279.7663623,2564.252664,280,2556,234,2206,333,3054,367613,3369428,269,2466,290,2644,256,2353.65,306,2817.1,37799,273644,0,0
Position_10,0,26,0,0,0,353,311,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,958,20704.18158,44.11892728,204.619595,370.434238,2621.151357,371,2595,281,2141,442,3230,354876,2511063,355,2491.25,386,2733.75,333.85,2363.85,408.15,2962.15,114418,254015,0,0
Position_10,0,28,0,0,0,384,315,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,731,14137.37945,33.66485996,139.7198361,319.4008208,2715,318,2684,232,2219,398,3359,233482,1984665,301.5,2519,336,2883.5,284,2350,362,3178.5,50001,262429,0,0
Position_10,0,29,0,0,0,62,355,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1543,44118.03182,71.06002588,436.0188674,260.3927414,2417.434219,260,2399,223,2248,312,2915,401786,3730101,251,2344,269,2473,239,2301,284,2601.9,14493,94793,0,0
Position_10,0,32,0,0,0,483,454,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1182,29185.87458,54.43483512,288.4442359,284.713198,2588.346024,284,2572.5,204,2117,357,3127,336531,3059425,273,2469.25,296.75,2702.75,258,2328.05,314,2879,39849,274633,0,0
