selection_subset,position,Cell_ID,cell_cycle_stage,generation_num,frame_i,mCitrine_corrected_amount,mCitrine_corrected_amount_rel,file,relationship,relative_ID,phase_length,phase_begin,gui_mCitrine_amount_autoBkgr,frames_in_phase,centered_frames_in_phase,Combined signal m&b,Bud signal,min_centered_frames,max_centered_frames,centered_time_in_minutes,Generation,contributing_ccs_at_time
0,Position_2,1,G1,5,110,288898.0,247148.0,MIA_KC_test_files,mother,4,6,108,288898.0,3,-4,288898.0,0.0,-6,29,-12,2+ ($n_2$=79),74
0,Position_2,3,S,1,110,478298.0,20665.0,MIA_KC_test_files,mother,5,41,89,478298.0,22,22,498963.0,20665.0,-15,42,66,1st ($n_1$=38),38
0,Position_2,1,G1,5,111,289330.0,246723.0,MIA_KC_test_files,mother,4,6,108,289330.0,4,-3,289330.0,0.0,-6,29,-9,2+ ($n_2$=79),76
0,Position_2,3,S,1,111,479317.0,23305.0,MIA_KC_test_files,mother,5,41,89,479317.0,23,23,502622.0,23305.0,-15,42,69,1st ($n_1$=38),37
0,Position_2,1,G1,5,112,288427.0,241357.00000000003,MIA_KC_test_files,mother,4,6,108,288427.0,5,-2,288427.0,0.0,-6,29,-6,2+ ($n_2$=79),78
0,Position_2,3,S,1,112,487095.0,22095.000000000004,MIA_KC_test_files,mother,5,41,89,487095.0,24,24,509190.0,22095.000000000004,-15,42,72,1st ($n_1$=38),36
0,Position_2,1,G1,5,113,287184.0,255961.0,MIA_KC_test_files,mother,4,6,108,287184.0,6,-1,287184.0,0.0,-6,29,-3,2+ ($n_2$=79),78
0,Position_2,3,S,1,113,503514.00000000006,21825.0,MIA_KC_test_files,mother,5,41,89,503514.00000000006,25,25,525339.0,21825.0,-15,42,75,1st ($n_1$=38),34
0,Position_2,1,G1,5,114,282053.0,246410.00000000003,MIA_KC_test_files,mother,4,6,108,282053.0,7,0,282053.0,0.0,-6,29,0,2+ ($n_2$=79),79
0,Position_2,3,S,1,114,494122.00000000006,21364.0,MIA_KC_test_files,mother,5,41,89,494122.00000000006,26,26,515486.00000000006,21364.0,-15,42,78,1st ($n_1$=38),29
0,Position_2,1,S,5,115,283158.0,94.0,MIA_KC_test_files,mother,6,28,115,283158.0,1,1,283252.0,94.0,-6,29,3,2+ ($n_2$=79),79
0,Position_2,3,S,1,115,497741.0,20168.0,MIA_KC_test_files,mother,5,41,89,497741.0,27,27,517909.0,20168.0,-15,42,81,1st ($n_1$=38),28
0,Position_2,1,S,5,116,289797.0,330.0,MIA_KC_test_files,mother,6,28,115,289797.0,2,2,290127.0,330.0,-6,29,6,2+ ($n_2$=79),79
0,Position_2,3,S,1,116,501493.00000000006,25187.0,MIA_KC_test_files,mother,5,41,89,501493.00000000006,28,28,526680.0,25187.0,-15,42,84,1st ($n_1$=38),26
0,Position_2,1,S,5,117,295511.0,992.9999999999998,MIA_KC_test_files,mother,6,28,115,295511.0,3,3,296504.0,992.9999999999998,-6,29,9,2+ ($n_2$=79),79
0,Position_2,3,S,1,117,442350.0,45993.99999999999,MIA_KC_test_files,mother,5,41,89,442350.0,29,29,488344.0,45993.99999999999,-15,42,87,1st ($n_1$=38),25
0,Position_2,1,S,5,118,302158.0,2749.0000000000005,MIA_KC_test_files,mother,6,28,115,302158.0,4,4,304907.0,2749.0000000000005,-6,29,12,2+ ($n_2$=79),79
0,Position_2,3,S,1,118,459325.0,42906.0,MIA_KC_test_files,mother,5,41,89,459325.0,30,30,502231.0,42906.0,-15,42,90,1st ($n_1$=38),25
0,Position_2,1,S,5,119,308891.0,3709.000000000001,MIA_KC_test_files,mother,6,28,115,308891.0,5,5,312600.0,3709.000000000001,-6,29,15,2+ ($n_2$=79),79
0,Position_2,3,S,1,119,453674.0,43552.99999999999,MIA_KC_test_files,mother,5,41,89,453674.0,31,31,497227.0,43552.99999999999,-15,42,93,1st ($n_1$=38),23
0,Position_2,1,S,5,120,327060.00000000006,2174.0,MIA_KC_test_files,mother,6,28,115,327060.00000000006,6,6,329234.00000000006,2174.0,-6,29,18,2+ ($n_2$=79),79
0,Position_2,3,S,1,120,450758.0,51858.00000000001,MIA_KC_test_files,mother,5,41,89,450758.0,32,32,502616.0,51858.00000000001,-15,42,96,1st ($n_1$=38),19
0,Position_2,1,S,5,121,337481.0,3262.0000000000005,MIA_KC_test_files,mother,6,28,115,337481.0,7,7,340743.0,3262.0000000000005,-6,29,21,2+ ($n_2$=79),79
0,Position_2,3,S,1,121,356401.0,143713.0,MIA_KC_test_files,mother,5,41,89,356401.0,33,33,500114.0,143713.0,-15,42,99,1st ($n_1$=38),16
0,Position_2,1,S,5,122,357983.0,4148.0,MIA_KC_test_files,mother,6,28,115,357983.0,8,8,362131.0,4148.0,-6,29,24,2+ ($n_2$=79),79
0,Position_2,3,S,1,122,256171.0,258380.0,MIA_KC_test_files,mother,5,41,89,256171.0,34,34,514551.0,258380.0,-15,42,102,1st ($n_1$=38),14
0,Position_2,1,S,5,123,367465.0,6322.0,MIA_KC_test_files,mother,6,28,115,367465.0,9,9,373787.0,6322.0,-6,29,27,2+ ($n_2$=79),79
